fromGeneId	fromSymbol	toGeneId	toSymbol	best	bestReverse	methodCount	totalMethodCount
HGNC:21298	AACS	WB:WBGene00006351	sur-5	Yes	Yes	9	9
HGNC:17	AADAC	WB:WBGene00012810	nceh-1	Yes	Yes	8	9
HGNC:17	AADAC	WB:WBGene00011642	T09B9.1	Yes	No	8	9
HGNC:17	AADAC	WB:WBGene00009186	trcs-1	Yes	No	8	9
HGNC:24427	AADACL2	WB:WBGene00017515	F16F9.4	No	Yes	5	9
HGNC:24427	AADACL2	WB:WBGene00012810	nceh-1	Yes	Yes	8	9
HGNC:24427	AADACL2	WB:WBGene00011642	T09B9.1	Yes	No	8	9
HGNC:24427	AADACL2	WB:WBGene00009186	trcs-1	Yes	No	8	9
HGNC:32037	AADACL3	WB:WBGene00017515	F16F9.4	No	Yes	5	9
HGNC:32037	AADACL3	WB:WBGene00011642	T09B9.1	Yes	Yes	9	9
HGNC:32037	AADACL3	WB:WBGene00009186	trcs-1	Yes	Yes	9	9
HGNC:32038	AADACL4	WB:WBGene00011642	T09B9.1	Yes	No	8	9
HGNC:32038	AADACL4	WB:WBGene00009186	trcs-1	Yes	No	8	9
HGNC:19679	AAK1	WB:WBGene00004762	sel-5	Yes	Yes	7	9
HGNC:18	AAMP	WB:WBGene00013735	Y111B2A.12	Yes	Yes	9	9
HGNC:15886	AAR2	WB:WBGene00008639	F10B5.2	Yes	Yes	9	9
HGNC:20	AARS1	WB:WBGene00000197	aars-2	Yes	Yes	9	9
HGNC:21022	AARS2	WB:WBGene00000196	aars-1	Yes	Yes	2	9
HGNC:23993	AASDH	WB:WBGene00012356	W09D6.1	Yes	Yes	8	9
HGNC:14235	AASDHPPT	WB:WBGene00020215	T04G9.4	Yes	Yes	9	9
HGNC:14235	AASDHPPT	WB:WBGene00012142	T28H10.1	No	Yes	8	9
HGNC:17366	AASS	WB:WBGene00019819	aass-1	Yes	Yes	9	9
HGNC:19235	AATF	WB:WBGene00022269	aatf-1	Yes	Yes	7	9
HGNC:23	ABAT	WB:WBGene00001794	gta-1	Yes	Yes	9	9
HGNC:29	ABCA1	WB:WBGene00000020	abt-2	Yes	No	3	9
HGNC:30	ABCA10	WB:WBGene00000023	abt-5	Yes	Yes	2	9
HGNC:14637	ABCA12	WB:WBGene00000020	abt-2	Yes	Yes	6	9
HGNC:14638	ABCA13	WB:WBGene00000020	abt-2	Yes	No	5	9
HGNC:32	ABCA2	WB:WBGene00000020	abt-2	Yes	No	3	9
HGNC:33	ABCA3	WB:WBGene00000022	abt-4	Yes	Yes	6	9
HGNC:34	ABCA4	WB:WBGene00000020	abt-2	Yes	No	4	9
HGNC:35	ABCA5	WB:WBGene00000019	abt-1	Yes	Yes	2	9
HGNC:37	ABCA7	WB:WBGene00000020	abt-2	Yes	No	4	9
HGNC:40	ABCB1	WB:WBGene00003995	pgp-1	Yes	Yes	8	9
HGNC:40	ABCB1	WB:WBGene00004006	pgp-12	No	Yes	3	9
HGNC:40	ABCB1	WB:WBGene00004008	pgp-14	No	Yes	3	9
HGNC:40	ABCB1	WB:WBGene00003996	pgp-2	No	Yes	3	9
HGNC:40	ABCB1	WB:WBGene00003997	pgp-3	No	Yes	3	9
HGNC:40	ABCB1	WB:WBGene00003998	pgp-4	No	Yes	3	9
HGNC:40	ABCB1	WB:WBGene00003999	pgp-5	No	Yes	3	9
HGNC:40	ABCB1	WB:WBGene00004000	pgp-6	No	Yes	3	9
HGNC:40	ABCB1	WB:WBGene00004001	pgp-7	No	Yes	3	9
HGNC:40	ABCB1	WB:WBGene00004002	pgp-8	No	Yes	3	9
HGNC:40	ABCB1	WB:WBGene00004003	pgp-9	Yes	Yes	8	9
HGNC:41	ABCB10	WB:WBGene00001811	haf-1	Yes	Yes	8	9
HGNC:41	ABCB10	WB:WBGene00001813	haf-3	Yes	Yes	8	9
HGNC:42	ABCB11	WB:WBGene00003995	pgp-1	Yes	No	7	9
HGNC:42	ABCB11	WB:WBGene00004006	pgp-12	No	Yes	3	9
HGNC:42	ABCB11	WB:WBGene00003996	pgp-2	No	Yes	3	9
HGNC:42	ABCB11	WB:WBGene00003997	pgp-3	No	Yes	3	9
HGNC:42	ABCB11	WB:WBGene00003998	pgp-4	No	Yes	3	9
HGNC:42	ABCB11	WB:WBGene00004000	pgp-6	No	Yes	3	9
HGNC:42	ABCB11	WB:WBGene00004001	pgp-7	No	Yes	3	9
HGNC:42	ABCB11	WB:WBGene00004002	pgp-8	No	Yes	3	9
HGNC:42	ABCB11	WB:WBGene00004003	pgp-9	Yes	No	7	9
HGNC:45	ABCB4	WB:WBGene00003995	pgp-1	Yes	Yes	8	9
HGNC:45	ABCB4	WB:WBGene00004006	pgp-12	No	Yes	3	9
HGNC:45	ABCB4	WB:WBGene00004008	pgp-14	No	Yes	3	9
HGNC:45	ABCB4	WB:WBGene00003996	pgp-2	No	Yes	3	9
HGNC:45	ABCB4	WB:WBGene00003997	pgp-3	No	Yes	3	9
HGNC:45	ABCB4	WB:WBGene00003998	pgp-4	No	Yes	3	9
HGNC:45	ABCB4	WB:WBGene00003999	pgp-5	No	Yes	3	9
HGNC:45	ABCB4	WB:WBGene00004000	pgp-6	No	Yes	3	9
HGNC:45	ABCB4	WB:WBGene00004001	pgp-7	No	Yes	3	9
HGNC:45	ABCB4	WB:WBGene00004002	pgp-8	No	Yes	3	9
HGNC:45	ABCB4	WB:WBGene00004003	pgp-9	Yes	Yes	8	9
HGNC:46	ABCB5	WB:WBGene00003995	pgp-1	Yes	Yes	8	9
HGNC:46	ABCB5	WB:WBGene00004006	pgp-12	No	Yes	3	9
HGNC:46	ABCB5	WB:WBGene00004008	pgp-14	No	Yes	3	9
HGNC:46	ABCB5	WB:WBGene00003997	pgp-3	No	Yes	3	9
HGNC:46	ABCB5	WB:WBGene00003998	pgp-4	No	Yes	3	9
HGNC:46	ABCB5	WB:WBGene00004000	pgp-6	No	Yes	3	9
HGNC:46	ABCB5	WB:WBGene00004001	pgp-7	No	Yes	3	9
HGNC:46	ABCB5	WB:WBGene00004002	pgp-8	No	Yes	3	9
HGNC:46	ABCB5	WB:WBGene00004003	pgp-9	Yes	Yes	8	9
HGNC:47	ABCB6	WB:WBGene00001815	hmt-1	Yes	Yes	9	9
HGNC:48	ABCB7	WB:WBGene00022281	abtm-1	Yes	Yes	9	9
HGNC:49	ABCB8	WB:WBGene00001816	haf-6	Yes	Yes	8	9
HGNC:50	ABCB9	WB:WBGene00001812	haf-2	No	Yes	4	9
HGNC:50	ABCB9	WB:WBGene00001814	haf-4	No	Yes	8	9
HGNC:50	ABCB9	WB:WBGene00001818	haf-8	No	Yes	3	9
HGNC:50	ABCB9	WB:WBGene00001819	haf-9	Yes	Yes	9	9
HGNC:51	ABCC1	WB:WBGene00003407	mrp-1	Yes	No	6	9
HGNC:51	ABCC1	WB:WBGene00003408	mrp-2	Yes	No	6	9
HGNC:51	ABCC1	WB:WBGene00003413	mrp-7	No	Yes	3	9
